Source,Source Label,Target,Target Label,Type
135,ECLI:CE:ECHR:2001:0118JUD002487694,63,Framework Convention for the Protection of National Minorities,Directed
135,ECLI:CE:ECHR:2001:0118JUD002487694,74,Recommendation 1203 (1993) of the Parliamentary Assembly on Gypsies in Europe,Directed
135,ECLI:CE:ECHR:2001:0118JUD002487694,76,"European Commission against Racism and Intolerance, General Policy Recommendation No. 3: Combating Racism and Intolerance against Roma/Gypsies",Directed
135,ECLI:CE:ECHR:2001:0118JUD002487694,131,OSCE High Commissioner's Report on the Situation of Roma and Sinti in the OSCE Area,Directed
135,ECLI:CE:ECHR:2001:0118JUD002487694,35,European Parliament Resolution on the situation of Gypsies in the Community,Directed
84,ECLI:CE:ECHR:2001:0118JUD002528994,63,Framework Convention for the Protection of National Minorities,Directed
84,ECLI:CE:ECHR:2001:0118JUD002528994,74,Recommendation 1203 (1993) of the Parliamentary Assembly on Gypsies in Europe,Directed
84,ECLI:CE:ECHR:2001:0118JUD002528994,76,"European Commission against Racism and Intolerance, General Policy Recommendation No. 3: Combating Racism and Intolerance against Roma/Gypsies",Directed
84,ECLI:CE:ECHR:2001:0118JUD002528994,131,OSCE High Commissioner's Report on the Situation of Roma and Sinti in the OSCE Area,Directed
84,ECLI:CE:ECHR:2001:0118JUD002528994,35,European Parliament Resolution on the situation of Gypsies in the Community,Directed
136,ECLI:CE:ECHR:2001:0118JUD002515494,63,Framework Convention for the Protection of National Minorities,Directed
136,ECLI:CE:ECHR:2001:0118JUD002515494,74,Recommendation 1203 (1993) of the Parliamentary Assembly on Gypsies in Europe,Directed
136,ECLI:CE:ECHR:2001:0118JUD002515494,76,"European Commission against Racism and Intolerance, General Policy Recommendation No. 3: Combating Racism and Intolerance against Roma/Gypsies",Directed
136,ECLI:CE:ECHR:2001:0118JUD002515494,131,OSCE High Commissioner's Report on the Situation of Roma and Sinti in the OSCE Area,Directed
136,ECLI:CE:ECHR:2001:0118JUD002515494,35,European Parliament Resolution on the situation of Gypsies in the Community,Directed
137,ECLI:CE:ECHR:2001:0118JUD002488294,63,Framework Convention for the Protection of National Minorities,Directed
137,ECLI:CE:ECHR:2001:0118JUD002488294,74,Recommendation 1203 (1993) of the Parliamentary Assembly on Gypsies in Europe,Directed
137,ECLI:CE:ECHR:2001:0118JUD002488294,76,"European Commission against Racism and Intolerance, General Policy Recommendation No. 3: Combating Racism and Intolerance against Roma/Gypsies",Directed
137,ECLI:CE:ECHR:2001:0118JUD002488294,131,OSCE High Commissioner's Report on the Situation of Roma and Sinti in the OSCE Area,Directed
137,ECLI:CE:ECHR:2001:0118JUD002488294,35,European Parliament Resolution on the situation of Gypsies in the Community,Directed
20,ECLI:CE:ECHR:2013:1017JUD002701307,110,Joint public statement of 24 October 2007 of the Council of Europe’s Commissioner for Human Rights and the United Nations Special Rapporteur on the Right to Adequate Housing,Directed
20,ECLI:CE:ECHR:2013:1017JUD002701307,91,"General Comments nos. 4 and 7 of the United Nations Committee on Economic, Social and Cultural Rights concerning Article 11 § 1 of the International Covenant on Economic, Social and Cultural Rights",Directed
20,ECLI:CE:ECHR:2013:1017JUD002701307,93,Resolution 1740(2010) of the Parliamentary Assembly,Directed
20,ECLI:CE:ECHR:2013:1017JUD002701307,145,The European Social Charter,Directed
20,ECLI:CE:ECHR:2013:1017JUD002701307,48,Recommendation (2005)4 of the Committee of Ministers,Directed
20,ECLI:CE:ECHR:2013:1017JUD002701307,212,European Social Charter,Directed
107,ECLI:CE:ECHR:2020:0903JUD001749619,78,Committee of Ministers of the Council of Europe Recommendation Rec(2002)5 of 30 April 2002 on the protection of women against violence,Directed
87,ECLI:CE:ECHR:2010:0527JUD001876805,72,The United Nations Guiding Principles on Internal Displacement,Directed
124,ECLI:CE:ECHR:2012:0424JUD002544606,23,Resolution 1740(2010) on the situation of Roma in Europe and relevant activities of the Council of Europe,Directed
124,ECLI:CE:ECHR:2012:0424JUD002544606,139,"2008 Recommendation on policies for Roma and/or Travellers in Europe, the Committee of Ministers of the Council of Europe",Directed
124,ECLI:CE:ECHR:2012:0424JUD002544606,97,"General Comment no. 7 concerning forced evictions and the right to adequate housing under the International Covenant on Economic, Social and Cultural Rights by the United Nations Committee on Economic, Social and Cultural Rights",Directed
124,ECLI:CE:ECHR:2012:0424JUD002544606,50,2005 Recommendation on improving the housing conditions of Roma the Committee of Ministers of the Council of Europe,Directed
101,ECLI:CE:ECHR:2004:0729JUD005953200,159,International Covenant on Civil and Political Rights,Directed
142,ECLI:CE:ECHR:2001:0118JUD002723895,63,Framework Convention for the Protection of National Minorities,Directed
142,ECLI:CE:ECHR:2001:0118JUD002723895,74,Recommendation 1203 (1993) of the Parliamentary Assembly on Gypsies in Europe,Directed
142,ECLI:CE:ECHR:2001:0118JUD002723895,76,"European Commission against Racism and Intolerance, General Policy Recommendation No. 3: Combating Racism and Intolerance against Roma/Gypsies",Directed
142,ECLI:CE:ECHR:2001:0118JUD002723895,131,OSCE High Commissioner's Report on the Situation of Roma and Sinti in the OSCE Area,Directed
142,ECLI:CE:ECHR:2001:0118JUD002723895,35,European Parliament Resolution on the situation of Gypsies in the Community,Directed
172,ECLI:CE:ECHR:2004:0629JUD000880302,187,Recommendation 1563 (2002) of the Parliamentary Assembly on the humanitarian situation of the displaced Kurdish population in Turkey,Directed
172,ECLI:CE:ECHR:2004:0629JUD000880302,144,"Committee of Ministers, Resolution Res DH (2002) 98",Directed
172,ECLI:CE:ECHR:2004:0629JUD000880302,207,"Humanitarian situation of the displaced Kurdish population in Turkey, Report of the Committee on Migration, Refugees and Demography, adopted by Recommendation 1563 (2002) of the Parliamentary Assembly",Directed
172,ECLI:CE:ECHR:2004:0629JUD000880302,213,"United Nations Guiding Principles on Internal Displacement, E/CN.4/1998/53/Add.2 dated 11 February 1998",Directed
172,ECLI:CE:ECHR:2004:0629JUD000880302,114,"Report of the Representative of the Secretary-General on internally displaced persons, Mr Francis Deng, the United Nations Economic and Social Council, Commission on Human Rights, 59th session, 27 November 2002",Directed
27,ECLI:CE:ECHR:1997:0910DEC002627295,33,Polish-German Treaty on Cooperation of 1991,Directed
57,ECLI:CE:ECHR:2014:0612JUD001471704,34,Revised Social Charter,Directed
57,ECLI:CE:ECHR:2014:0612JUD001471704,212,European Social Charter,Directed
158,ECLI:CE:ECHR:2006:0516DEC000517203,188,The 1995 General Framework Agreement for Peace in Bosnia and Herzegovina,Directed
